PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
14014-20000-05302,1 or 2 Family Dwelling,5/18/2015,"$150,000.00 "
15010-30000-02257,1 or 2 Family Dwelling,1/4/2016,"$200,000.00 "
14010-20000-03612,1 or 2 Family Dwelling,5/7/2015,"$282,100.00 "
15014-30000-05120,1 or 2 Family Dwelling,12/14/2015,"$120,000.00 "
16014-70000-01339,1 or 2 Family Dwelling,3/29/2016,"$12,000.00 "
12020-10000-02394,Commercial,5/14/2014,"$97,500.00 "
14010-20000-02643,1 or 2 Family Dwelling,5/19/2015,"$1,200,000.00 "
15010-30000-03001,1 or 2 Family Dwelling,4/8/2016,"$1,300,000.00 "
13014-20000-04511,1 or 2 Family Dwelling,12/17/2013,"$70,000.00 "
15014-20000-02386,1 or 2 Family Dwelling,6/10/2015,"$60,000.00 "
15014-20000-00521,1 or 2 Family Dwelling,2/9/2015,"$35,000.00 "
15014-20000-05104,1 or 2 Family Dwelling,11/6/2015,"$12,800.00 "
15014-20000-01732,1 or 2 Family Dwelling,4/24/2015,"$33,000.00 "
16014-20000-00991,1 or 2 Family Dwelling,4/12/2016,"$4,500.00 "
13010-20000-00958,1 or 2 Family Dwelling,9/16/2013,"$11,000.00 "
15010-10000-00060,1 or 2 Family Dwelling,2/5/2015,"$15,000.00 "
15010-10000-04198,1 or 2 Family Dwelling,2/2/2016,"$18,000.00 "
13014-10000-00213,1 or 2 Family Dwelling,3/1/2013,"$98,000.00 "
16010-20000-00023,1 or 2 Family Dwelling,1/7/2016,"$19,000.00 "
14010-10000-01990,1 or 2 Family Dwelling,8/24/2015,"$300,000.00 "
15014-20000-00741,1 or 2 Family Dwelling,7/16/2015,"$85,000.00 "
14010-20000-03114,Apartment,1/22/2016,"$2,500,000.00 "
15014-20000-05766,1 or 2 Family Dwelling,2/8/2016,"$55,000.00 "
14010-30000-02850,1 or 2 Family Dwelling,3/31/2015,"$800,000.00 "
12014-10000-03686,1 or 2 Family Dwelling,6/14/2013,"$77,000.00 "
13014-20000-01934,1 or 2 Family Dwelling,5/22/2013,"$4,400.00 "
15014-20000-00324,1 or 2 Family Dwelling,2/10/2015,"$23,700.00 "
13010-70000-01217,1 or 2 Family Dwelling,5/3/2013,"$12,540.00 "
12014-30000-03475,1 or 2 Family Dwelling,1/24/2013,"$286,434.00 "
14010-30000-02496,1 or 2 Family Dwelling,6/16/2015,"$180,000.00 "
13010-20000-03778,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 "
13014-30000-02579,1 or 2 Family Dwelling,8/8/2013,"$5,252.00 "
13010-10000-00049,Commercial,4/11/2014,"$15,000,000.00 "
14014-10000-01566,1 or 2 Family Dwelling,9/4/2014,"$786,000.00 "
14014-20000-01307,1 or 2 Family Dwelling,4/8/2014,"$7,400.00 "
14014-20000-03441,1 or 2 Family Dwelling,2/2/2015,"$95,000.00 "
14014-20000-02812,1 or 2 Family Dwelling,7/1/2014,"$8,000.00 "
13014-10000-04937,1 or 2 Family Dwelling,12/10/2013,"$90,000.00 "
13014-30000-02819,1 or 2 Family Dwelling,7/18/2013,"$3,000.00 "
13014-10000-03209,1 or 2 Family Dwelling,9/18/2013,"$31,420.00 "
15014-20000-04008,1 or 2 Family Dwelling,9/11/2015,"$30,000.00 "
16014-10000-00022,1 or 2 Family Dwelling,2/26/2016,"$200,000.00 "
15010-20000-01305,1 or 2 Family Dwelling,1/19/2016,"$256,000.00 "
13010-20000-04163,1 or 2 Family Dwelling,8/27/2015,"$182,000.00 "
15010-20000-02667,1 or 2 Family Dwelling,10/13/2015,"$435,000.00 "
05010-10007-06967,Apartment,6/27/2014,"$26,250.00 "
14010-20000-03571,1 or 2 Family Dwelling,3/26/2015,"$2,470,000.00 "
15014-30000-02177,1 or 2 Family Dwelling,10/2/2015,"$20,000.00 "
13014-10000-00672,1 or 2 Family Dwelling,8/15/2013,"$195,500.00 "
14010-20000-02009,Commercial,6/10/2015,"$980,000.00 "
13014-30000-05150,1 or 2 Family Dwelling,7/9/2014,"$80,000.00 "
14014-30000-00245,1 or 2 Family Dwelling,1/27/2014,"$5,500.00 "
11010-10000-02522,1 or 2 Family Dwelling,2/13/2013,"$950,000.00 "
15010-70000-03405,1 or 2 Family Dwelling,2/18/2016,"$330,000.00 "
14014-10000-01431,1 or 2 Family Dwelling,4/14/2015,"$16,000.00 "
14014-30000-03703,1 or 2 Family Dwelling,10/28/2014,"$45,000.00 "
14014-10000-00693,1 or 2 Family Dwelling,5/20/2014,"$60,600.00 "
14010-30000-03197,1 or 2 Family Dwelling,1/4/2016,"$800,000.00 "
14014-10000-02487,Apartment,9/19/2014,"$2,000.00 "
15020-30000-03110,1 or 2 Family Dwelling,1/25/2016,"$25,000.00 "
16014-30000-00224,1 or 2 Family Dwelling,3/29/2016,"$125,000.00 "
15014-20000-05018,1 or 2 Family Dwelling,12/2/2015,"$20,000.00 "
16014-20000-00070,1 or 2 Family Dwelling,1/12/2016,"$65,000.00 "
15014-20000-03227,1 or 2 Family Dwelling,8/7/2015,"$40,000.00 "
13014-20000-05064,1 or 2 Family Dwelling,12/5/2013,"$5,000.00 "
15014-30000-03552,1 or 2 Family Dwelling,8/18/2015,"$50,000.00 "
16014-70000-00228,1 or 2 Family Dwelling,2/11/2016,"$40,000.00 "
13014-10002-05207,1 or 2 Family Dwelling,11/19/2015,"$30,000.00 "
15010-30000-02852,1 or 2 Family Dwelling,9/9/2015,"$525,000.00 "
14014-30000-03777,1 or 2 Family Dwelling,3/10/2015,"$20,000.00 "
14010-10000-03367,Apartment,4/22/2015,"$6,900,000.00 "
13014-20000-04372,1 or 2 Family Dwelling,10/23/2013,"$50,000.00 "
14014-10000-00706,1 or 2 Family Dwelling,5/13/2014,"$20,000.00 "
15010-30000-00764,Apartment,11/12/2015,"$4,137,000.00 "
14014-30000-02233,1 or 2 Family Dwelling,12/16/2014,"$80,000.00 "
13014-70000-03227,1 or 2 Family Dwelling,3/11/2014,"$79,700.00 "
