PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
14014-20000-01949,1 or 2 Family Dwelling,9/19/2014,"$100,000.00 ",308,,0,RE9-1,308,4,"(34.12777, -118.3193)"
14014-10000-04397,1 or 2 Family Dwelling,12/4/2014,"$240,000.00 ",1621,,2,R1-1-O,1621,5,"(34.05676, -118.38555)"
14014-20000-05155,1 or 2 Family Dwelling,3/26/2015,"$28,000.00 ",1788,0,1,R1-1,764.4,7,"(34.31523, -118.423)"
14014-20000-02779,1 or 2 Family Dwelling,2/13/2015,"$110,000.00 ",1078,,2,RE15-1-H,754,4,"(34.1411, -118.43064)"
13010-20000-04121,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 ",1982,1,2,(T)(Q)RD4-1,2488,12,"(34.21547, -118.53448)"
14016-10000-05541,Commercial,9/5/2014,"$20,000.00 ",6530,,1,MR1-1VL,-188,10,
15014-20000-00347,1 or 2 Family Dwelling,4/29/2015,"$295,000.00 ",3483,0,2,RE15-1-H,1178,5,"(34.09804, -118.4641)"
15014-20000-02915,1 or 2 Family Dwelling,8/24/2015,"$32,000.00 ",311,,0,R1-1-RFA-RIO,311,2,"(34.15118, -118.40352)"
14010-10000-02761,1 or 2 Family Dwelling,4/1/2015,"$95,600.00 ",478,,2,R1-1,956,13,"(34.11916, -118.26092)"
12010-10000-02535,1 or 2 Family Dwelling,1/24/2013,"$800,000.00 ",14880,1,2,RE20-1-H,15565,11,"(34.06017, -118.49972)"
13010-10000-00934,Apartment,8/17/2015,"$2,001,600.00 ",15523,8,3,RD2-1VL,18641,4,"(34.10855, -118.26334)"
14014-30000-02962,1 or 2 Family Dwelling,6/5/2015,"$300,000.00 ",2614,0,2,RD1.5-1-O,2248,11,"(33.98996, -118.4684)"
13014-10000-00802,Commercial,3/18/2013,"$40,000.00 ",1273.5,,0,C2-1-O-CA,1047,11,"(33.98961, -118.46353)"
13014-30000-00212,1 or 2 Family Dwelling,7/9/2013,"$145,000.00 ",1745,,1,R1-1,1062,11,"(34.00825, -118.44116)"
14014-10001-01698,1 or 2 Family Dwelling,6/25/2015,"$205,000.00 ",11288,,2,RE20-1-H,1498,5,"(34.08943, -118.46356)"
13014-10000-04432,1 or 2 Family Dwelling,6/20/2014,"$90,000.00 ",1261,,1,R1-1,457,3,"(34.16652, -118.61269)"
14010-20000-02740,1 or 2 Family Dwelling,8/5/2015,"$395,000.00 ",3442,1,2,R1-1,3878,2,"(34.16107, -118.40208)"
12014-20000-04678,1 or 2 Family Dwelling,2/12/2013,"$300,000.00 ",2181,,1,RA-1,2259,3,"(34.17508, -118.55552)"
15014-20000-04600,1 or 2 Family Dwelling,12/16/2015,"$36,000.00 ",361,,1,R1-1,361,2,"(34.18758, -118.40561)"
15010-10000-02451,1 or 2 Family Dwelling,3/4/2016,"$50,000.00 ",566,,1,RE20-1-H,491,5,"(34.09836, -118.44826)"
14014-10000-02457,Apartment,9/19/2014,"$2,000.00 ",0,,0,A1-1,21.3,14,"(34.06005, -118.1939)"
13014-20002-00975,1 or 2 Family Dwelling,5/15/2015,"$11,300.00 ",113,,1,R1-1-RFA,113,2,"(34.15184, -118.39116)"
14010-70000-01465,1 or 2 Family Dwelling,4/22/2015,"$300,000.00 ",2961,2,2,R2-1,3446,9,"(33.95733, -118.25767)"
15010-10000-02620,1 or 2 Family Dwelling,10/23/2015,"$60,000.00 ",535,1,1,RD2-1-HPOZ,535,14,"(34.1179, -118.17832)"
13010-10000-04210,1 or 2 Family Dwelling,12/17/2015,"$250,000.00 ",2614,1,3,[Q]R1-1D,2614,14,"(34.0747, -118.17651)"
15010-20000-01130,1 or 2 Family Dwelling,7/7/2015,"$71,000.00 ",773,,1,(T)RS-1,773,12,"(34.21458, -118.53888)"
15010-10000-01574,1 or 2 Family Dwelling,1/11/2016,"$176,750.00 ",1570,1,2,RD2-1,1627,8,"(33.95609, -118.28177)"
12010-20000-02361,1 or 2 Family Dwelling,2/28/2014,"$243,000.00 ",1594,1,2,RA-1-K,2778,6,"(34.24176, -118.36742)"
13014-10000-00538,1 or 2 Family Dwelling,7/1/2013,"$106,656.00 ",2558,,1,RD1.5-1,1056,14,"(34.04379, -118.21862)"
15010-10000-01139,Apartment,10/28/2015,"$4,800,000.00 ",32726,34,3,R3-1XL,51659,13,"(34.0845, -118.3253)"
14010-30000-01015,1 or 2 Family Dwelling,2/12/2015,"$10,000.00 ",180,,1,R1-1,200,11,"(34.00981, -118.43647)"
13014-20000-04741,1 or 2 Family Dwelling,3/28/2014,"$54,000.00 ",620,0,1,RS-1,546,3,"(34.21708, -118.58477)"
16014-20000-00780,1 or 2 Family Dwelling,2/25/2016,"$35,000.00 ",277.83,,0,R1-1,277.83,6,"(34.22865, -118.39001)"
13014-20000-00721,Apartment,4/15/2013,"$7,000.00 ",234,,0,R3-1,234,5,"(34.02178, -118.4224)"
14014-20000-04399,1 or 2 Family Dwelling,10/10/2014,"$52,000.00 ",499,,0,RS-1,355,2,"(34.21285, -118.41747)"
15010-20000-01954,1 or 2 Family Dwelling,7/24/2015,"$504,000.00 ",3522.1,1,2,(T)RS-1,4123.6,3,"(34.21188, -118.53962)"
13014-20000-04337,1 or 2 Family Dwelling,10/22/2013,"$21,500.00 ",200,,1,R1-1,200,2,"(34.18722, -118.39337)"
14010-70000-00057,1 or 2 Family Dwelling,6/6/2014,"$92,000.00 ",743.5,,2,R1-1,1247.5,11,"(34.03556, -118.46227)"
15014-20000-05392,1 or 2 Family Dwelling,3/2/2016,"$20,000.00 ",2267,0,0,R1-1,190,11,"(33.97238, -118.37295)"
15010-20000-04315,1 or 2 Family Dwelling,4/11/2016,"$410,000.00 ",4005,1,2,RS-1,4445,2,
15010-20000-00767,1 or 2 Family Dwelling,4/10/2015,"$6,000.00 ",0,,1,RA-1,407,12,"(34.22673, -118.49195)"
15014-30000-03699,1 or 2 Family Dwelling,3/7/2016,"$100,000.00 ",1891,0,1,R1-1,76,11,"(34.05168, -118.52336)"
15014-30000-00431,1 or 2 Family Dwelling,2/6/2015,"$60,000.00 ",3542,0,1,R1-1-O,280,5,"(34.04173, -118.39556)"
15014-20000-05846,1 or 2 Family Dwelling,1/8/2016,"$34,200.00 ",478,,0,RD2-1-O,478,8,"(34.02008, -118.30042)"
15014-70000-05796,1 or 2 Family Dwelling,1/13/2016,"$60,000.00 ",936,0,1,RD1.5-1,-132,11,"(33.99048, -118.47386)"
15010-10000-01944,1 or 2 Family Dwelling,6/19/2015,"$8,000.00 ",,,1,R1-1,306,14,"(34.09759, -118.16152)"
12014-10000-02834,Commercial,3/6/2013,"$80,000.00 ",499,,0,[T][Q]CM-1VL,499,6,"(34.22156, -118.47097)"
10014-20000-04507,1 or 2 Family Dwelling,5/12/2014,"$81,310.00 ",310,0,0,R1-1-HPOZ,310,4,"(34.0973, -118.35804)"
14010-20000-01103,Commercial,12/15/2014,"$492,120.00 ",5468,,1,[Q]C2-1,5468,8,"(33.97469, -118.33127)"
13014-30000-02807,1 or 2 Family Dwelling,4/14/2014,"$70,000.00 ",4019,,3,R1-1,239,11,"(34.01052, -118.45201)"
14010-30000-01039,Apartment,7/21/2015,"$1,600,000.00 ",12940,8,3,RD1.5-1,20404,2,"(34.15736, -118.399)"
