PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
16014-20000-00356,1 or 2 Family Dwelling,2/1/2016,"$4,300.00 ",350,,1,RE11-1,350,7,"(34.27887, -118.36407)"
15014-10000-00614,1 or 2 Family Dwelling,7/30/2015,"$217,900.00 ",3287,0,2,R1-1,2006,11,"(33.96932, -118.38189)"
15016-20000-16557,1 or 2 Family Dwelling,9/21/2015,"$20,000.00 ",333,,0,RS-1,333,6,"(34.22709, -118.39732)"
13014-30000-02263,1 or 2 Family Dwelling,7/10/2013,"$60,000.00 ",3811,,0,RE15-1-H,376,5,"(34.0769, -118.46074)"
15014-20000-00586,1 or 2 Family Dwelling,5/13/2015,"$250,000.00 ",3373,,2,R1-1,1837,5,"(34.0815, -118.34969)"
15014-20000-02879,1 or 2 Family Dwelling,7/6/2015,"$8,500.00 ",327.76,,1,R1-1VLD,11.68,11,"(34.0003, -118.4446)"
14010-10000-02999,Apartment,3/2/2016,"$13,000,000.00 ",69751,61,4,R3-1,128230,11,"(33.95637, -118.3838)"
15014-10000-00988,1 or 2 Family Dwelling,8/26/2015,"$22,000.00 ",1919,,0,R3-1XL,225,13,"(34.0851, -118.30031)"
15014-20000-05388,1 or 2 Family Dwelling,12/10/2015,"$35,000.00 ",0,,1,R1-1,99,3,"(34.15866, -118.60865)"
14014-20000-02756,1 or 2 Family Dwelling,6/26/2014,"$30,000.00 ",300,,1,R1-1,300,4,"(34.16198, -118.4631)"
14010-30000-00174,1 or 2 Family Dwelling,3/25/2014,"$400,000.00 ",3778,1,2,R1-1,3493,2,"(34.19086, -118.43793)"
15016-20000-20642,1 or 2 Family Dwelling,10/7/2015,"$100,000.00 ",0,,0,R1-1-O,0,5,"(34.0527, -118.41954)"
15010-20000-04277,1 or 2 Family Dwelling,3/7/2016,"$640,000.00 ",4366,1,2,R1-1-RFA-RIO,5226,2,"(34.14943, -118.41712)"
16016-20000-02837,1 or 2 Family Dwelling,2/9/2016,$900.00 ,43,,0,R2-1,43,6,
15014-20000-04779,Commercial,4/14/2016,"$14,400.00 ",366,,1,[Q]CR-1VL,366,6,"(34.18683, -118.44088)"
14010-20000-02622,1 or 2 Family Dwelling,4/4/2016,"$251,000.00 ",1994,1,3,R1-1,2420,6,
15010-10000-01022,1 or 2 Family Dwelling,8/6/2015,"$470,000.00 ",4862,1,3,RE15-1-H,5404,2,"(34.13562, -118.38493)"
15010-20000-00560,1 or 2 Family Dwelling,12/1/2015,"$700,000.00 ",4451,1,2,R1-1,4976,2,"(34.16962, -118.41131)"
15014-20000-00150,1 or 2 Family Dwelling,2/5/2015,"$25,000.00 ",522,,1,R1-1,482,7,"(34.28357, -118.41076)"
15010-20000-01454,1 or 2 Family Dwelling,3/4/2016,"$25,000.00 ",686,0,1,RE15-1-H,686,5,"(34.0803, -118.46295)"
15010-10000-01630,1 or 2 Family Dwelling,11/12/2015,"$217,240.00 ",1911,1,3,CR(PKM)-1,2575,4,
16014-20000-00457,1 or 2 Family Dwelling,2/9/2016,"$42,000.00 ",462,,0,R1-1,462,11,"(34.01465, -118.42114)"
14010-10000-02703,1 or 2 Family Dwelling,6/22/2015,"$500,000.00 ",2279,1,3,R1-1VL,2781,13,"(34.08809, -118.26843)"
15010-10000-00685,1 or 2 Family Dwelling,12/7/2015,"$468,270.00 ",3148,1,3,C2(PV),4036,11,"(33.97695, -118.41348)"
14014-20000-02694,1 or 2 Family Dwelling,10/14/2014,"$17,000.00 ",160,,0,R1-1,160,6,"(34.18625, -118.47299)"
16014-30000-01701,1 or 2 Family Dwelling,4/21/2016,"$65,000.00 ",499,0,1,R1-1-O,499,10,"(34.05606, -118.33667)"
14014-70000-04763,1 or 2 Family Dwelling,11/24/2014,"$26,400.00 ",1046,,1,R2-1,230,8,"(33.94001, -118.27666)"
14014-20000-04678,1 or 2 Family Dwelling,12/15/2014,"$88,500.00 ",1238,,2,R2-1VL,0,13,"(34.08983, -118.25069)"
15014-30000-04627,1 or 2 Family Dwelling,1/14/2016,"$375,000.00 ",3396,0,2,R1-1,1374,5,"(34.03604, -118.41259)"
13014-20000-02760,1 or 2 Family Dwelling,7/25/2013,"$10,000.00 ",,,0,RA-1,465,12,"(34.23275, -118.52113)"
15014-20000-00626,1 or 2 Family Dwelling,2/17/2015,"$33,000.00 ",325,0,0,RS-1,325,12,"(34.27204, -118.48149)"
15014-20000-00679,1 or 2 Family Dwelling,4/3/2015,"$60,000.00 ",538,0,1,R1-1,538,2,"(34.15619, -118.38567)"
15010-20000-03774,1 or 2 Family Dwelling,1/20/2016,"$675,000.00 ",3933,1,2,RE-1,4525,12,
13014-10000-03293,1 or 2 Family Dwelling,9/19/2013,"$70,000.00 ",1126,,0,R2-1,200,11,"(33.99475, -118.45594)"
13014-20000-01696,1 or 2 Family Dwelling,7/12/2013,"$50,000.00 ",1100,,1,R2-1VL,75,13,"(34.08428, -118.27987)"
13014-20000-01621,1 or 2 Family Dwelling,7/3/2013,"$120,000.00 ",1022.5,,2,RE15-1-H-RPD,1022.5,5,"(34.12564, -118.44768)"
15014-10000-02694,1 or 2 Family Dwelling,10/29/2015,,2684,0,2,R2-1,1206,11,"(33.95307, -118.44037)"
15014-10000-04378,1 or 2 Family Dwelling,11/23/2015,"$20,000.00 ",2997,0,0,RS-1,475,2,"(34.21722, -118.42183)"
15010-30000-04552,1 or 2 Family Dwelling,2/18/2016,"$485,676.00 ",2720.4,1,2,R1-1,3011.1,11,"(34.00215, -118.44284)"
13014-10000-04401,1 or 2 Family Dwelling,12/5/2013,"$42,600.00 ",1590,,2,R1-1,426,1,"(34.11781, -118.22046)"
16014-20000-00552,1 or 2 Family Dwelling,3/22/2016,"$150,000.00 ",1276,0,0,RE15-1-H,180,4,"(34.12869, -118.35309)"
14014-20000-04400,1 or 2 Family Dwelling,11/24/2015,"$90,000.00 ",530,,2,RE15-1-HPOZ,530,4,"(34.06396, -118.32121)"
14014-30000-01931,1 or 2 Family Dwelling,5/26/2015,"$300,000.00 ",4539,,1,RE15-1-H,1719,4,"(34.09497, -118.3872)"
16014-20000-00328,1 or 2 Family Dwelling,4/1/2016,"$20,000.00 ",193,,0,R1-1,193,5,"(34.15405, -118.4777)"
14014-10000-05263,1 or 2 Family Dwelling,2/25/2015,"$12,000.00 ",373,0,2,R1-1-HPOZ,373,4,"(34.1068, -118.31383)"
15014-30000-05526,1 or 2 Family Dwelling,2/17/2016,"$380,000.00 ",4883,0,2,RE40-1-H,1616,5,"(34.11394, -118.42551)"
14014-20000-00572,1 or 2 Family Dwelling,2/14/2014,"$2,000.00 ",0,,0,RE11-1,34,6,"(34.18355, -118.47006)"
15014-20000-01171,1 or 2 Family Dwelling,4/20/2015,"$45,000.00 ",442,0,1,R1-1,442,5,"(34.02733, -118.41699)"
15014-20000-05654,1 or 2 Family Dwelling,2/18/2016,"$68,000.00 ",1181,,0,RE11-1-HPOZ,595,4,"(34.06866, -118.32419)"
14010-10000-02000,1 or 2 Family Dwelling,11/25/2014,"$434,573.00 ",3132,1,2,RD1.5-1,4048,11,"(33.99625, -118.47127)"
13014-70000-01891,Commercial,5/9/2014,"$100,000.00 ",22106,,0,C2-1VL,828,1,"(34.04692, -118.28446)"
12014-10000-03742,1 or 2 Family Dwelling,1/28/2013,"$25,000.00 ",3723,,2,RE9-1-HPOZ,140,4,"(34.07176, -118.32125)"
12010-10000-00443,1 or 2 Family Dwelling,7/3/2013,"$908,000.00 ",6632,,1,RE40-1-H,6632,11,"(34.05639, -118.53621)"
16014-20000-00146,1 or 2 Family Dwelling,1/15/2016,"$11,000.00 ",491,,0,R1-1,491,6,"(34.23014, -118.44213)"
14014-10000-02580,1 or 2 Family Dwelling,9/4/2014,"$500,000.00 ",6835,,0,RE11-1,1894,11,"(34.04882, -118.50354)"
12014-20000-03848,1 or 2 Family Dwelling,2/5/2013,"$65,000.00 ",307,0,0,RE9-1,307,4,"(34.11146, -118.34328)"
16014-10000-00038,1 or 2 Family Dwelling,4/5/2016,"$430,000.00 ",3831,,2,RE20-1,3831,4,"(34.11534, -118.39565)"
14010-30000-03861,1 or 2 Family Dwelling,12/24/2014,"$20,000.00 ",,,1,RE9-1-HPOZ,400,4,"(34.07208, -118.32137)"
15014-30000-03789,1 or 2 Family Dwelling,10/6/2015,"$43,500.00 ",1194,,1,R1-1,402,11,"(33.99268, -118.421)"
15014-20003-03327,1 or 2 Family Dwelling,3/4/2016,"$64,000.00 ",584,,2,R1-1,584,11,"(33.99009, -118.41477)"
14010-10000-01966,1 or 2 Family Dwelling,5/5/2015,"$199,318.00 ",1803,1,3,R3-1,2116,10,"(34.06827, -118.30692)"
14010-20000-01893,1 or 2 Family Dwelling,8/10/2015,"$10,000.00 ",0,0,1,RS-1,345,12,"(34.18721, -118.64547)"
14010-30000-01875,1 or 2 Family Dwelling,10/1/2015,"$1,995,000.00 ",5623,1,2,R1-1,5646,11,"(34.06676, -118.47728)"
13010-20002-03596,1 or 2 Family Dwelling,4/1/2016,"$3,000.00 ",2825,,0,R1-1,26,3,"(34.14683, -118.59455)"
12014-10000-04168,1 or 2 Family Dwelling,3/18/2013,"$50,000.00 ",437,0,0,R1-1,437,14,"(34.14404, -118.19709)"
15010-10000-00336,Commercial,3/18/2015,"$500,000.00 ",5000,,1,LAX,5000,11,"(33.94572, -118.40095)"
15014-20001-03637,1 or 2 Family Dwelling,11/16/2015,"$2,000.00 ",6869,0,2,R1-1,220,11,"(34.05057, -118.5274)"
15014-10000-01628,1 or 2 Family Dwelling,6/24/2015,"$34,351.00 ",3903.5,0,2,RE11-1,61,4,"(34.12298, -118.36621)"
14014-10000-04060,1 or 2 Family Dwelling,9/30/2014,"$20,000.00 ",3604,,1,RE15-1-H,139,5,"(34.13493, -118.47476)"
14014-70000-01388,1 or 2 Family Dwelling,3/4/2015,"$46,000.00 ",483,,0,RD3-1-O-HPOZ,483,10,"(34.02804, -118.32226)"
13010-10000-00042,1 or 2 Family Dwelling,6/8/2015,"$200,000.00 ",1562,2,2,RD1.5-1-CDO,2272,14,
13014-20000-01836,1 or 2 Family Dwelling,5/16/2013,"$50,000.00 ",492,,0,R2-1VL,492,13,"(34.10269, -118.24515)"
13014-10000-01383,1 or 2 Family Dwelling,8/14/2013,"$58,400.00 ",3282,,0,R1-1,498,2,"(34.13711, -118.39088)"
15010-20000-01292,1 or 2 Family Dwelling,9/24/2015,"$738,300.00 ",5857,1,2,OS-1XL,6523,12,
12014-10000-04184,1 or 2 Family Dwelling,2/26/2013,"$120,000.00 ",2373,0,2,R1-1,810,5,"(34.14187, -118.42701)"
14014-20000-05561,1 or 2 Family Dwelling,4/28/2015,"$550,000.00 ",4688.58,0,2,R1-1,3346.75,11,"(34.05334, -118.52404)"
15014-70000-01108,Apartment,6/4/2015,"$5,200.00 ",260,0,2,RD1.5-1-O,260,10,"(34.04124, -118.34847)"
14014-10000-00299,1 or 2 Family Dwelling,1/13/2015,"$50,000.00 ",2273,0,1,RS-1,418,3,"(34.17845, -118.60894)"
13010-20000-03467,1 or 2 Family Dwelling,12/12/2013,"$6,000.00 ",295,,1,RE15-1,295,11,"(34.06729, -118.47448)"
13010-20000-03787,1 or 2 Family Dwelling,3/18/2016,"$185,000.00 ",1489,1,2,(Q)RD3-1,1911,7,
14014-10000-00675,1 or 2 Family Dwelling,4/24/2014,"$304,000.00 ",3464,,2,R1-1-O,1176,5,"(34.04314, -118.4063)"
13010-10000-03647,Commercial,7/10/2014,"$16,100,000.00 ",79409,,10,(T)(Q)C4-2D,103756,13,"(34.09988, -118.3301)"
14010-30000-01683,Apartment,12/29/2014,"$6,797,000.00 ",39207,52,5,C2-1VL,63932,11,"(34.04236, -118.44464)"
15014-20000-03216,1 or 2 Family Dwelling,7/16/2015,"$27,000.00 ",422,,1,R1-1,471,6,"(34.23393, -118.41812)"
15010-20000-02566,1 or 2 Family Dwelling,7/20/2015,"$3,000.00 ",240,,1,RS-1,240,12,"(34.23924, -118.49729)"
15010-70000-03958,1 or 2 Family Dwelling,12/22/2015,"$218,000.00 ",2184,1,2,R1-1,2184,8,"(34.00201, -118.30091)"
14010-10000-02370,1 or 2 Family Dwelling,5/12/2015,"$24,750.00 ",0,,1,RD2-1VL,403,13,"(34.09492, -118.25937)"
14014-70000-03731,1 or 2 Family Dwelling,4/6/2015,"$50,000.00 ",490,0,1,R2-1-O,490,8,"(34.02011, -118.3051)"
14014-30000-04515,1 or 2 Family Dwelling,10/30/2014,"$80,000.00 ",333,0,1,R1-1,333,11,"(34.02446, -118.44881)"
15014-40000-04466,1 or 2 Family Dwelling,10/2/2015,"$50,000.00 ",2183,0,1,R1-1,270,4,"(34.16871, -118.43044)"
15010-10000-01180,1 or 2 Family Dwelling,10/13/2015,"$460,000.00 ",3951,1,2,R1-1-O,4571,5,"(34.04852, -118.39801)"
14010-10000-03968,1 or 2 Family Dwelling,9/29/2015,"$185,000.00 ",1611,1,2,R2-1VL-RIO,2013,13,
13010-10000-02904,Commercial,7/10/2014,"$7,989,000.00 ",54505,,2,WC,51787,3,"(34.18628, -118.60544)"
14010-10000-01967,1 or 2 Family Dwelling,5/5/2015,"$199,318.00 ",1803,1,3,R3-1,2116,10,"(34.06833, -118.30692)"
15014-40000-03297,1 or 2 Family Dwelling,9/22/2015,"$194,000.00 ",3517,,2,R1-1,2011,11,"(33.97219, -118.40333)"
14014-20002-05560,1 or 2 Family Dwelling,12/16/2015,"$19,200.00 ",8061,0,2,RE20-1-H,176,5,"(34.1003, -118.44961)"
14014-30001-00435,1 or 2 Family Dwelling,4/15/2015,"$27,000.00 ",265,,2,R1-1,265,4,"(34.16228, -118.45908)"
16010-20000-00764,1 or 2 Family Dwelling,3/16/2016,"$39,000.00 ",647,,1,RA-1,647,7,"(34.31275, -118.42736)"
14010-30000-01148,1 or 2 Family Dwelling,7/29/2015,"$40,000.00 ",0,0,2,RE15-1-H,440,5,"(34.08102, -118.47067)"
16014-20000-01063,1 or 2 Family Dwelling,3/15/2016,"$15,000.00 ",172,,0,RA-1,172,2,"(34.2088, -118.41793)"
10010-10000-02539,Apartment,5/8/2014,"$1,453,877.00 ",8603,4,3,[T][Q]RD1.5-1,16106,11,"(34.05008, -118.47063)"
15010-30000-04698,1 or 2 Family Dwelling,4/8/2016,"$1,129,000.00 ",6148,1,2,RE15-1,6666,11,"(34.0675, -118.47592)"
13010-20000-04478,1 or 2 Family Dwelling,5/11/2015,"$163,000.00 ",1407,1,3,R3-1,1738,2,"(34.15077, -118.38458)"
16014-20000-00329,1 or 2 Family Dwelling,4/1/2016,"$13,000.00 ",582,,0,R1-1,582,5,"(34.15405, -118.4777)"
15014-30000-05530,Commercial,2/18/2016,"$350,000.00 ",29205,,2,[Q]C2-1,1223,10,"(34.01604, -118.33474)"
14010-20000-03395,1 or 2 Family Dwelling,10/13/2015,"$500,000.00 ",4038,1,2,RE40-1,4469,7,"(34.24521, -118.27826)"
15014-30000-04127,1 or 2 Family Dwelling,9/10/2015,"$12,000.00 ",3665,0,0,RE40-1-H,10,11,"(34.08115, -118.50547)"
15014-20000-03744,1 or 2 Family Dwelling,4/7/2016,"$300,000.00 ",2848,,2,R1-1,1844,11,"(33.96408, -118.42147)"
16014-10000-01228,1 or 2 Family Dwelling,4/1/2016,"$15,000.00 ",1619,,0,RD2-1,0,8,"(34.03555, -118.30471)"
13010-20000-04129,1 or 2 Family Dwelling,11/18/2015,"$253,000.00 ",1982,1,2,(T)(Q)RD4-1,2488,12,"(34.21547, -118.53448)"
15016-20000-08532,1 or 2 Family Dwelling,6/8/2015,"$10,000.00 ",0,,1,R1-1-RIO,395,3,"(34.19302, -118.56404)"
15010-20000-03852,1 or 2 Family Dwelling,12/15/2015,"$586,000.00 ",3913,1,2,R1-1,4313,4,"(34.15739, -118.46194)"
14014-10000-01081,1 or 2 Family Dwelling,4/4/2014,"$47,066.00 ",1668,0,1,RD2-1,466,9,"(34.00284, -118.25293)"
14014-70000-01629,1 or 2 Family Dwelling,5/21/2014,"$15,500.00 ",116,,0,R1-1,116,8,"(33.94111, -118.26342)"
13014-30000-02732,1 or 2 Family Dwelling,9/6/2013,"$30,000.00 ",1180,,1,R1-1,183,11,"(33.99247, -118.42147)"
15014-10000-05043,1 or 2 Family Dwelling,1/8/2016,"$35,000.00 ",831,,0,R3-1,391,1,"(34.07292, -118.19801)"
13014-30000-01820,1 or 2 Family Dwelling,7/29/2013,"$250,000.00 ",3281,,0,R1-1,312,11,"(33.96021, -118.44299)"
14010-30001-03102,1 or 2 Family Dwelling,4/16/2015,"$8,000.00 ",4039,,2,R1-1,30,5,"(34.08134, -118.36706)"
15014-30000-00155,1 or 2 Family Dwelling,1/15/2015,"$17,800.00 ",1752,0,1,R1-1-RFA-RIO,186,2,"(34.14508, -118.37828)"
15014-20000-02759,1 or 2 Family Dwelling,9/22/2015,"$60,000.00 ",547,,1,R1-1,547,14,"(34.13488, -118.19182)"
14016-40000-24994,1 or 2 Family Dwelling,3/4/2015,"$125,000.00 ",776,0,0,R2-1,776,11,"(33.96181, -118.38594)"
15014-20000-05408,1 or 2 Family Dwelling,11/24/2015,"$8,000.00 ",336,,0,R1-1,336,7,"(34.31973, -118.45493)"
13014-10000-04749,1 or 2 Family Dwelling,11/14/2013,"$3,000.00 ",1260,,0,RD1.5-1,34,14,"(34.05984, -118.19538)"
15014-10000-05337,1 or 2 Family Dwelling,2/5/2016,"$40,000.00 ",2185,,1,R1-1,175,4,"(34.10093, -118.35199)"
15010-30000-01993,Apartment,9/9/2015,"$50,000.00 ",,0,1,RD2-1VL,695,13,"(34.08909, -118.28111)"
15014-20000-01238,1 or 2 Family Dwelling,3/26/2015,"$37,600.00 ",372,0,0,R1-1,372,2,"(34.17489, -118.38352)"
13010-30000-01329,1 or 2 Family Dwelling,3/26/2014,"$650,000.00 ",3203,0,1,RE20-1-H,3203,5,"(34.08777, -118.45189)"
14014-20000-05498,1 or 2 Family Dwelling,9/1/2015,"$160,000.00 ",3874,,2,R1-1-RIO,1906,4,"(34.16229, -118.46496)"
16016-20000-06848,1 or 2 Family Dwelling,3/30/2016,"$54,000.00 ",129,,0,RE15-1-H,129,2,"(34.13518, -118.38656)"
15014-30001-03896,1 or 2 Family Dwelling,9/18/2015,$501.00 ,0,0,2,RE15-1-HPOZ,0,4,"(34.06247, -118.33452)"
14010-10001-01939,1 or 2 Family Dwelling,2/25/2016,"$41,000.00 ",320,,0,RD2-1VL,320,13,"(34.09557, -118.25947)"
13014-20000-03069,1 or 2 Family Dwelling,7/31/2013,"$5,000.00 ",2274,,0,R1-1,14,5,"(34.1651, -118.49714)"
13010-10000-01945,1 or 2 Family Dwelling,9/10/2014,"$175,200.00 ",1593,1,3,C2-1VL,2266,13,"(34.07568, -118.26445)"
12014-10000-04508,1 or 2 Family Dwelling,1/30/2013,"$13,200.00 ",,,1,R1-1,240,13,"(34.13532, -118.27117)"
15014-30000-01461,1 or 2 Family Dwelling,8/14/2015,"$10,000.00 ",96,0,1,R3-1-O,96,10,"(34.03071, -118.33063)"
15010-20000-01325,Commercial,11/10/2015,"$8,000.00 ",72,,1,,72,12,
14010-30000-03791,1 or 2 Family Dwelling,8/6/2015,"$500,000.00 ",3909,1,2,R1-1-O,4319,5,"(34.08261, -118.35241)"
15010-20000-00521,1 or 2 Family Dwelling,10/8/2015,"$327,000.00 ",2339,1,2,RD1.5-1,2339,11,"(33.99417, -118.46346)"
14010-10000-00501,Apartment,7/20/2015,"$5,120,150.00 ",32073,23,4,R3-1,46710,4,"(34.09499, -118.35089)"
14014-70000-00925,1 or 2 Family Dwelling,3/14/2014,"$12,000.00 ",109.69,,1,R2-1,109.69,8,"(33.99517, -118.30102)"
13010-20000-04257,1 or 2 Family Dwelling,5/2/2014,"$544,000.00 ",4846,1,2,RA-1-K,4846,7,"(34.26378, -118.35018)"
13010-10000-02456,Apartment,10/22/2014,"$627,485.00 ",5029,5,3,(T)(Q)RAS3-1VL-O,6106,15,"(33.79078, -118.28573)"
13014-20000-01581,1 or 2 Family Dwelling,4/29/2013,"$27,000.00 ",231,,0,R1-1,231,6,"(34.21601, -118.43474)"
14014-20000-01817,1 or 2 Family Dwelling,5/20/2014,"$6,500.00 ",364,,1,R1-1,364,3,"(34.1584, -118.60517)"
14014-20000-01338,1 or 2 Family Dwelling,5/30/2014,"$150,000.00 ",781,,2,R2-1VL,781,13,"(34.09625, -118.25779)"
15014-20000-02677,1 or 2 Family Dwelling,7/10/2015,"$20,000.00 ",151,,1,R1-1,151,2,"(34.19005, -118.38136)"
14014-20001-03308,1 or 2 Family Dwelling,9/29/2014,"$33,000.00 ",26.8,,0,R1-1,26.8,12,"(34.26955, -118.51337)"
14010-10000-02021,1 or 2 Family Dwelling,8/20/2014,"$1,279,355.00 ",7054,1,2,RE20-1-H,11419,5,"(34.10227, -118.42034)"
15014-10001-02622,1 or 2 Family Dwelling,3/3/2016,"$10,000.00 ",2369,1,2,R3-1,1235,10,"(34.0315, -118.357)"
14010-20000-03721,1 or 2 Family Dwelling,12/1/2015,"$287,000.00 ",2738,1,2,RA-1,3139,3,"(34.21063, -118.57827)"
15010-10000-01595,1 or 2 Family Dwelling,12/10/2015,"$1,000,000.00 ",3358,,1,RE20-1-H,3725,5,"(34.08296, -118.45374)"
14010-10000-00551,Commercial,9/11/2014,"$20,000.00 ",196,,1,[Q]OS-1XLD,196,14,"(34.06971, -118.18992)"
14010-30000-02034,1 or 2 Family Dwelling,12/15/2014,"$5,300,000.00 ",21049.7,1,2,RE40-1,30157.9,5,"(34.08284, -118.4305)"
12010-20000-00296,1 or 2 Family Dwelling,1/8/2013,"$110,000.00 ",851,1,2,R1-1,851,2,
13010-10000-03890,1 or 2 Family Dwelling,5/14/2015,"$264,017.00 ",2101,1,2,R2-1,2428,15,"(33.83678, -118.2994)"
16014-20000-01498,1 or 2 Family Dwelling,4/11/2016,"$7,500.00 ",72,0,1,R1-1,72,6,"(34.21015, -118.37641)"
12014-40000-01547,Apartment,8/29/2013,"$1,672,000.00 ",156,,6,R1-1,156,6,"(34.20144, -118.46442)"
13010-10000-00943,Commercial,3/4/2015,"$180,000.00 ",1936,,1,[Q]C1.5-1,1936,10,"(34.01588, -118.34384)"
15014-70000-01038,1 or 2 Family Dwelling,5/5/2015,"$33,000.00 ",329,,0,R2-1,329,8,"(33.93309, -118.2661)"
15014-10000-02453,Apartment,9/22/2015,"$2,400.00 ",0,,0,RD1.5-1XL,21.3,15,"(33.74295, -118.28375)"
13010-10001-02664,Apartment,10/28/2015,"$4,000.00 ",0,,0,[Q]C2-1VL,28,4,"(34.10825, -118.26893)"
14014-10001-04825,1 or 2 Family Dwelling,12/10/2015,"$15,000.00 ",123,,2,RE15-1-H,123,4,"(34.10804, -118.36321)"
13014-30000-03701,1 or 2 Family Dwelling,9/26/2013,"$100,000.00 ",2395,,0,R1-1,55,11,"(34.01347, -118.44472)"
16014-20000-01196,1 or 2 Family Dwelling,3/21/2016,"$23,000.00 ",472.5,0,0,R1-1,378,7,"(34.30464, -118.44771)"
15010-10000-04452,1 or 2 Family Dwelling,4/1/2016,"$20,000.00 ",1891,1,2,R1-1VL,2321,13,"(34.08748, -118.26856)"
13010-20000-03654,Apartment,7/24/2014,"$1,500,000.00 ",7942,4,3,[Q]R3-1-O,10660,10,"(34.05018, -118.36698)"
15014-30000-00193,1 or 2 Family Dwelling,3/24/2015,"$50,000.00 ",3655,0,2,R1-1,286,5,"(34.07116, -118.4599)"
13014-20000-00383,1 or 2 Family Dwelling,2/12/2013,"$70,000.00 ",561,0,1,R1-1,561,5,"(34.03554, -118.42593)"
14014-20000-05302,1 or 2 Family Dwelling,5/18/2015,"$150,000.00 ",2437,0,2,R1-1-RIO,535,4,"(34.16433, -118.45291)"
15010-30000-02257,1 or 2 Family Dwelling,1/4/2016,"$200,000.00 ",465,,2,R1-1,701,5,"(34.05628, -118.44039)"
14010-20000-03612,1 or 2 Family Dwelling,5/7/2015,"$282,100.00 ",2055,1,3,RD1.5-1-O,2355,10,"(34.04304, -118.35162)"
15014-30000-05120,1 or 2 Family Dwelling,12/14/2015,"$120,000.00 ",3450,0,2,RE15-1-H,100,5,"(34.13861, -118.47556)"
16014-70000-01339,1 or 2 Family Dwelling,3/29/2016,"$12,000.00 ",120,0,1,R1-1,120,8,"(33.98965, -118.32485)"
12020-10000-02394,Commercial,5/14/2014,"$97,500.00 ",1225,,1,OS-1XL-O,1758.5,5,"(34.04637, -118.40785)"
14010-20000-02643,1 or 2 Family Dwelling,5/19/2015,"$1,200,000.00 ",8270,1,2,RA-1,9003,3,
15010-30000-03001,1 or 2 Family Dwelling,4/8/2016,"$1,300,000.00 ",8462,1,2,RE15-1-H,7606,11,"(34.06924, -118.49571)"
13014-20000-04511,1 or 2 Family Dwelling,12/17/2013,"$70,000.00 ",2295,,1,R1-1,210,2,"(34.15536, -118.39891)"
15014-20000-02386,1 or 2 Family Dwelling,6/10/2015,"$60,000.00 ",497,0,0,R1-1,497,14,"(34.12335, -118.20291)"
15014-20000-00521,1 or 2 Family Dwelling,2/9/2015,"$35,000.00 ",320,,0,R1-1,320,11,"(33.96667, -118.4066)"
15014-20000-05104,1 or 2 Family Dwelling,11/6/2015,"$12,800.00 ",640,,0,RA-1-K,640,7,"(34.27468, -118.3632)"
15014-20000-01732,1 or 2 Family Dwelling,4/24/2015,"$33,000.00 ",323,0,1,RA-1,323,3,"(34.15898, -118.58191)"
16014-20000-00991,1 or 2 Family Dwelling,4/12/2016,"$4,500.00 ",279,,2,RE15-1-H,279,11,"(34.07767, -118.49148)"
13010-20000-00958,1 or 2 Family Dwelling,9/16/2013,"$11,000.00 ",,,1,RA-1,453,3,"(34.17785, -118.55548)"
15010-10000-00060,1 or 2 Family Dwelling,2/5/2015,"$15,000.00 ",,,1,R3-1-O,414,10,"(34.03104, -118.3268)"
15010-10000-04198,1 or 2 Family Dwelling,2/2/2016,"$18,000.00 ",400,,1,R1-1,400,11,"(34.0504, -118.52064)"
13014-10000-00213,1 or 2 Family Dwelling,3/1/2013,"$98,000.00 ",1020,,1,RS-1,1020,3,"(34.20182, -118.62317)"
16010-20000-00023,1 or 2 Family Dwelling,1/7/2016,"$19,000.00 ",0,,1,R1-1-RFA,350,7,"(34.2617, -118.3095)"
14010-10000-01990,1 or 2 Family Dwelling,8/24/2015,"$300,000.00 ",2640,1,3,RD1.5-1,3050,11,"(34.03836, -118.4522)"
15014-20000-00741,1 or 2 Family Dwelling,7/16/2015,"$85,000.00 ",982,,2,R1-1,982,6,"(34.20136, -118.51053)"
14010-20000-03114,Apartment,1/22/2016,"$2,500,000.00 ",18655,18,2,[Q]RD1.5-1,30817,2,"(34.18683, -118.43635)"
15014-20000-05766,1 or 2 Family Dwelling,2/8/2016,"$55,000.00 ",545,,1,RE11-1,545,12,"(34.29137, -118.49085)"
14010-30000-02850,1 or 2 Family Dwelling,3/31/2015,"$800,000.00 ",4497,1,2,RE11-1,5545,4,"(34.12266, -118.37255)"
12014-10000-03686,1 or 2 Family Dwelling,6/14/2013,"$77,000.00 ",754,,2,R1-1,768,14,"(34.1427, -118.21839)"
13014-20000-01934,1 or 2 Family Dwelling,5/22/2013,"$4,400.00 ",275,,0,R1-1,275,3,"(34.17461, -118.54131)"
15014-20000-00324,1 or 2 Family Dwelling,2/10/2015,"$23,700.00 ",378,,0,RE11-1,378,4,"(34.16826, -118.42343)"
13010-70000-01217,1 or 2 Family Dwelling,5/3/2013,"$12,540.00 ",0,,1,R2-1,228,15,"(33.9347, -118.26412)"
